namespace(aug='splitpc2', dropout=0.5, epochs=200, layers=[32, 32], lr=0.0005, model='sage'),411.38
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0005, model='gcn'),329.72
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0005, model='gat'),665.04
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0005, model='sage'),274.93
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.001, model='gcn'),308.75
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.001, model='gat'),652.22
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.001, model='sage'),205.99
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0001, model='gcn'),19.04
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0001, model='gat'),37.09
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0001, model='sage'),295.52
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0005, model='gcn'),1380.13
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0005, model='gat'),1981.82
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0005, model='sage'),1322.02
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.001, model='gcn'),1345.85
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.001, model='gat'),1959.19
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.001, model='sage'),1317.92
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0001, model='gcn'),1413.22
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0001, model='gat'),1968.66
namespace(aug='splitpc2', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0001, model='sage'),1313.00
namespace(aug='permute', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0005, model='gat'),388.71
namespace(aug='permute', dropout=0.5, epochs=150, layers=[32, 32], lr=0.001, model='gat'),258.63
namespace(aug='permute', dropout=0.5, epochs=150, layers=[32, 32], lr=0.0001, model='gat'),210.32
namespace(aug='permute', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0005, model='gat'),625.59
namespace(aug='permute', dropout=0.5, epochs=150, layers=[128, 128], lr=0.001, model='gat'),379.79
namespace(aug='permute', dropout=0.5, epochs=150, layers=[128, 128], lr=0.0001, model='gat'),1673.52
namespace(aug='rotate', dropout=0.5, epochs=10, layers=[32, 32], lr=0.001, model='sage'),52.61
namespace(aug='logarithmic', dropout=0.5, epochs=10, layers=[32, 32], lr=0.001, model='sage'),40.20
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='gcn'),168.03
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='gat'),380.25
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='sage'),123.17
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='gcn'),148.88
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='gat'),378.34
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='sage'),172.32
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[65, 64], lr=0.001, model='gcn'),321.97
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[65, 64], lr=0.001, model='gcn'),506.66
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gcn'),475.08
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gat'),386.80
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='sage'),235.46
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[128, 128], lr=0.001, model='gcn'),373.80
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[128, 128], lr=0.001, model='gat'),669.20
namespace(aug='logarithmic', dropout=0.5, epochs=100, layers=[128, 128], lr=0.001, model='sage'),354.19
namespace(aug='rotate', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gcn'),296.97
namespace(aug='rotate', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gat'),481.35
namespace(aug='rotate', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='sage'),204.32
